compound,flashpoint
224trimethyl13pentanediol110oC,110
224trimethylpentane540841,-12
22aminoethylaminoethanol111411,129
22dichlorodiethylether111444,55
22dichloropropane,-5.15
22dimethyl13propanediol,106.85
22dimethyl1propanol75843,37
22dimethyl3ethylpentane13oC,13
22dimethylbutane75832,-48
22dimethylpropane,-65.15
22dimethylpropanenitrile,3.85
22ethoxyethoxyethanol111900,94
22iminobisAcetonitrile140oC,140
233trimethyl1butene-17oC,-17
234epoxycyclohexylEthylTrimethoxySilane146oC,146
23butanediol,84.85
23butanedione431038,26.7
23dichloro1propanol616239,93.3
23dihydro1Hindene48,48
23dihydro5methylfuran,-12.15
23dihydrofuran,-24.15
23dimethyl13butadiene,-22.15
23dimethyl1butene,-18.15
23dimethyl23butanediol,76.85
23dimethyl2butene,-16.15
23dimethylaniline87592,97
23dimethylbutane79298,-29
23dimethylheptane,89.85
23dimethylhexane,-3.15
23dimethyloxirane3266237,-15
23dimethylpentane,-6.15
23dimethylphenol,94.85
23pentadiene-37oC,-37
244trimethyl1pentene107391,-5
244trimethyl2pentanethiol31oC,31
244trimethyl2pentene,1.85
246trimethylpyridine,56.85
24dichlorophenol120832,113.9
24dimethyl3ethylpentane15oC,15
24dimethyl3pentanone15oC,15
24dimethylpentane108087,-12.2
24dimethylphenol,93.85
24dimethylpyridine108474,37.2
24hexadiene-7oC,-7
24pentadienylTrimethylSilane18oC,18
24pentanediol101oC,101
24pentanedione123546,34
25811tetraoxadodecane110oC,110
25dihydrofuran-16oC,-16
25dimethoxy25dihydrofuran,50.85
25dimethoxychlorobenzene2100427,117.2
25dimethyl15hexadiene7oC,7
25dimethyl24hexadiene,28.85
25dimethylphenol,94.85
25furandione102oC,102
25hexanediol2935446,110
25hexanedione110134,79
25norbornadiene,-11.15
25pyrrolidinedione179oC,179
268trimethyl4nonanone83oC,83
26diethylbenzenamine123oC,123
26dimethyl4heptanol66oC,66
26dimethyl4heptanone108838,49
26dimethylphenol,72.85
2amino2methyl1propanol124685,67.2
"2-Benzofurancarboxamide, 5-(1-piperidinylmethyl)- (9CI)",222.2
"2-Benzothiazolesulfenamide, N,N-bis(1-methylethyl)-",164.5
"2-Benzothiazolesulfenamide, N-cyclohexyl-",202
2biphenylyl2chloroethylether,160
2bromo11dimethoxyethane,52.85
2-Bromo-2-methyl-N-phenylpropanamide,169.3
"2-Bromo-3,3-dimethyl-N-phenylbutanamide",179.9
2bromobutane,20.85
2bromoethyltrichlorosilane40oC,40
2-Bromo-N-(4-methylphenyl)acetamide,168.7
2-Bromo-N-phenylacetamide,167.4
2bromopropane,0.85
2bromovinylTrimethylSilane15oC,15
2butanethiol,-23.15
2butanol78922,24
2butanone78933,-9
2buten1olAcetate30oC,30
2butenal,12.85
"2-Butenamide, N-ethyl-N-(2-methylphenyl)-",115.5
2butene14diol128oC,128
2buteneDinitrile116oC,116
2butenedioicAcid198oC,198
2butenenitrile,19.85
2butoxyethnol111762,65.6
2butoxyethylacetate112072,71
2butoxyethylsalicylate,157.2
2butyl1decanol149oC,149
2butyl1nonanol131oC,131
2butyl1octanol3913028,110
2butyne14diol152oC,152
2butyne-49oC,-49
2carene,155
2chloro13butadiene,-20.15
2chloro1propanol78897,51.7
2chloro1propene-34oC,-34
2chloro2methylpropane,17.85
2chloro4tpentylphenylMethylether,110
2chlorobenzenamine91oC,91
2chlorobenzotrifluororide88164,59
2chlorobutane78864,-15
2chloroethanol107073,60
2chloroethylacetate542585,66.1
2chloroethyltrichlorosilane28oC,28
2chloromethyl3trimethylsilyl1propene43oC,43
2chloropentane,-0.15
2chloropropane,-32.15
2chloropropionicAcid598787,107.2
2chloropyridine,65.85
2chlorotoluene95498,42.85
2cyanoethylMethylDichloroSilane60oC,60
2cyanoethylTriethoxySilane86oC,86
2cyclohexen1one930687,34
2decene47oC,47
2dimethylaminoethanol,39.85
2dodecene78oC,78
2ethoxy2methylpropane,-19.15
2ethoxyethanol110805,43.3
2ethoxyethylacetate111159,47.2
2ethyl13dimethylbenzene58oC,58
2ethyl14dimethylBenzene56oC,56
2ethyl1butanol,56.85
2ethyl1butanol57oC,57
2ethyl1butene,-26.15
2ethyl1hexanamine,49.85
2ethyl1hexanol104767,73
2ethyl1pentene-10oC,-10
2ethyl2hexenal68oC,68
2ethylbenzenamine91oC,91
2ethylbutanal,20.85
2ethylbutyricacid,86.85
2ethylhexanal123057,44
2ethylhexanol,72.85
2ethylhexylacetate103093,71
2ethylhexylacrylate103117,85.85
2ethyloxazoline,28.85
2fluoro2methylpropane353617,-12.2
"2-Furanacetamide, alpha-((5-nitro-2-furanyl)methylene)- (9CI)",231.8
"2-Furanacrylamide, N-ethyl-5-nitro-",208.9
2furancarboxaldehyde60oC,60
"2-Furancarboximidamide, N-hydroxy-5-nitro-",192.2
"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-, 1,1-dioxide",322
"2H-1,2,4-Benzothiadiazine-7-sulfonamide, 6-chloro-3-ethyl-3,4-dihydro-",294.6
"2H-1-Benzothiopyran-7-sulfonamide, 3,4-dihydro-6-methyl-, 1,1-dioxide",285.9
2heptanol,70.85
2heptanone110430,47
2hexanol626937,57.8
2hexanone591786,35
2hexene,-21.15
2hexyne,-11.15
2hydroxy3butenenitrile93oC,93
2iodobutane513484,28
2iodotoluene615372,90
2isopropoxyethanol,42.85
2isopropylbiphenyl19486603,140.6
2mercapoethanol,72.85
2methoxy1propanol36oC,36
2methoxybutane,-30.15
2methoxyethanol109864,39
2methoxyethylacetate110496,49
2methyl13benzenediamine146oC,146
2methyl13butendiene,-48.15
2methyl13dinitroBenzene144oC,144
2methyl13dioxolane,-2.15
2methyl13pentadiene-20oC,-20
2methyl13pentanediol121oC,121
2methyl13propanediol113oC,113
2methyl14dinitroBenzene165oC,165
2methyl1butanethiol,18.85
2methyl1butanol,42.85
2methyl1butene,-34.15
2methyl1butene3yne-52oC,-52
2methyl1dodecanol131oC,131
2methyl1heptene,9.85
2methyl1hexanol60oC,60
2methyl1hexene,-6.15
2methyl1Hindene71oC,71
2methyl1pentanol,49.85
2methyl1pentene,-26.15
2methyl1propanal,-25.15
2methyl1propanethiol-9oC,-9
2methyl1propanol,27.85
2methyl1tridecanol149oC,149
2methyl1undecanol119oC,119
2methyl24pentanediol93oC,93
2methyl2butanol,20.85
2methyl2butene,-45.15
2methyl2heptene,7.85
2methyl2pentenal31oC,31
2methyl2pentene,-23.15
2methyl2propanethiol,-26.15
2methyl2propen1ol513428,33.3
2methyl2propenal,-15.15
2methyl2propenamide103oC,103
2methyl2propenoicAcid67oC,67
2methyl3pentanol,45.85
2methyl3pentanone,12.85
2methylallylchloride563473,-12
2methylaminoEthanol109831,73.9
2methylaziridine-10oC,-10
2methylbenzaldehyde67oC,67
2methylbenzenamine85oC,85
2methylbenzofuran67oC,67
2methylbutane,-51.15
2methylbutylAmine-16oC,-16
2methylbutyricacid,76.85
2methylcyclohexanol,57.85
2methylcyclohexanone,47.85
2methylfuran,-30.15
2methylheptane,3.85
2methylhexane,-3.15
2methylnaphthalene,96.85
2methylpentane,-23.15
2-methylpropanamide,87.7
2methylpropanoicacid,55.85
2methylpropylBenzene52oC,52
2methylpyridine109068,26
2methyltetrahydrofuran96479,-11.1
2methylthiophene,6.85
2methylvalericacid97610,91.1
2naphthol135193,153
2nitrobenzenamine168oC,168
2nitrobiphenyl86000,179
2nitropropane79469,24
2nonanol82oC,82
2nonanone821556,60
2norbornene,-15.15
2octanol123966,87.8
2octanone111137,62
2octene,13.85
2octyne,27.85
2oxolan2yloxolane89oC,89
2pentaneamine63493287,-6.7
2pentanethiol,8.85
2pentanol,39.85
2pentanone107879,7.2
2pentene-47oC,-47
2pentylacetate,31.85
2pentyne,-30.15
2phenoxyethanol122996,121.1
2phenylethanol60128,102
2phenylmethylBenzene129oC,129
2phenylphenol90437,123.9
2propanol67630,12
2propenal107028,-18.9
2-Propenamide,79
"2-Propenamide, 2-methyl-",81.7
"2-Propenamide, 3-(5,10,11,11a-tetrahydro-9,11-dihydroxy-8-methyl-5-oxo",365
"2-Propenamide, N-(1-methylethyl)-",119.7
"2-Propenamide, N-(2-hydroxyethyl)-3-phenyl-",219.5
"2-Propenamide, N-(3-(dimethylamino)propyl)-",127.8
"2-Propenamide, N-(butoxymethyl)-",123.9
"2-Propenamide, N-(hydroxymethyl)-",146.2
"2-Propenamide, N,N-diethyl- (9CI)",91.475
"2-Propenamide, N,N-dimethyl-",71.7
"2-Propenamide, N,N'-methylenebis-",215
"2-Propenamide, N-methyl-",103.6
2propene1ol,20.85
2propenenitrile0oC,0
2propenylAcetate22oC,22
2propenylcyclopentane,11.85
2propyn1ol,32.85
2-Pyrazinecarboxamide,169.9
"2-Pyridineacetamide, alpha-(2-(bis(1-methylethyl)amino)ethyl)-alpha-ph",259.4
2pyrrolidinone129oC,129
2tertbutyl4methylphenol,99.85
2tertbutyl6methylphenol,106.85
2tertbutylfuran,6.85
2undecanol,106.85
2undecanone,88.85
333trifluoro1propene-82oC,-82
33dimethyl1butene,-28.15
33dimethyl2butanone12oC,12
33dimethylbutanoicacid,87.85
33thiobis1propene46oC,46
34dichloro1butene28oC,28
34dichlorobenzenamine166oC,166
34dihydro2Hpyran110872,-18
355trimethyl1hexanol,78.85
3amino1propanol79oC,79
3bromo1trimethylsilyl1propyne62oC,62
3bromopropyltrichlorosilane88oC,88
3bromopropylTrimethoxySilane82oC,82
3buten1ol627270,37.8
3buten2olAcetate15oC,15
3butene2ol,19.85
3butenenitrile109751,21
3butoxypropylamine,62.85
3chloro12propanediol135oC,135
3chloro1propanethiol,42.85
3chloro1propanol,72.85
3chloro1propene-32oC,-32
3chloro2methyl1propene,-12.15
3chloro2methylpropylMethylDichloroSilane90oC,90
3-Chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl diethyl phosphate,347
3chlorobenzenamine105oC,105
3chloropropene,-29.15
3-chloropropyl(trimethyl)silane,30.5
3chloropropylDimethylChloroSilane40oC,40
3chloropropylMethylDichloroSilane86oC,86
3chloropropylMethylDimethoxySilane45oC,45
3chloropropylTriethoxySilane62oC,62
