,compound,flashpoint,pure substance,smiles,source
113,"3,4,5-trimethylheptane",304.0,1,CC(CC)C(C(CC)C)C,carroll11
114,"2,3-dimethyloctane",309.0,1,CC(C)C(CCCCC)C,carroll11
115,3-ethyl-3-methylheptane,314.0,1,C(C)C(CC)(CCCC)C,carroll11
116,"2,3,3,4-tetramethylhexane",304.0,1,CC(C)C(C(CC)C)(C)C,carroll11
117,5-methylnonane,310.0,1,CC(CCCC)CCCC,carroll11
118,4-methylnonane,311.0,1,CC(CCC)CCCCC,carroll11
119,4-ethyl-3-methylheptane,314.0,1,C(C)C(C(CC)C)CCC,carroll11
120,"3-ethyl-2,3,4-trimethylpentane",304.0,1,C(C)C(C(C)C)(C(C)C)C,carroll11
121,"3,3,4,4-tetramethylhexane",304.0,1,CC(CC)(C(CC)(C)C)C,carroll11
122,tert-butylcyclohexane,313.0,1,C(C)(C)(C)C1CCCCC1,carroll11
123,cyclononane,316.0,1,C1CCCCCCCC1,carroll11
124,butylcyclohexane,321.0,1,C(CCC)C1CCCCC1,carroll11
125,trans-decalin,326.0,1,C1CCC[C@@H]2CCCC[C@@H]12,carroll11
126,cis-decalin,330.0,1,C1CCC[C@@H]2CCCC[C@H]12,carroll11
127,cyclodecane,332.0,1,C1CCCCCCCCC1,carroll11
128,pentylcyclohexane,336.0,1,C(CCCC)C1CCCCC1,carroll11
129,bicyclohexyl,365.0,1,C1(CCCCC1)C1CCCCC1,carroll11
130,"2,2,4,4,6,8,8-heptamethylnonane",368.0,1,CC(C)(CC(CC(CC(C)(C)C)C)(C)C)C,carroll11
131,1-pentene,222.0,1,C=CCCC,carroll11
132,1-hexene,247.0,1,C=CCCCC,carroll11
133,1-heptene,264.0,1,C=CCCCCC,carroll11
134,1-nonene,298.0,1,C=CCCCCCCC,carroll11
135,1-decene,311.0,1,C=CCCCCCCCC,carroll11
136,1-undecene,327.0,1,C=CCCCCCCCCC,carroll11
137,1-dodecene,346.0,1,C=CCCCCCCCCCC,carroll11
138,1-tridecene,365.0,1,C=CCCCCCCCCCCC,carroll11
139,1-tetradecene,370.0,1,C=CCCCCCCCCCCCC,carroll11
140,1-pentadecene,386.0,1,C=CCCCCCCCCCCCCC,carroll11
141,1-hexadecene,402.0,1,C=CCCCCCCCCCCCCCC,carroll11
142,1-heptadecene,414.0,1,C=CCCCCCCCCCCCCCCC,carroll11
143,1-octadecene,427.0,1,C=CCCCCCCCCCCCCCCCC,carroll11
144,cis-2-pentene,227.0,1,C\C=C/CC,carroll11
145,trans-2-pentene,228.0,1,C\C=C\CC,carroll11
146,cis-3-hexene,248.0,1,CC\C=C/CC,carroll11
147,trans-3-hexene,248.0,1,CC\C=C\CC,carroll11
148,trans-2-hexene,248.0,1,C\C=C\CCC,carroll11
149,cis-2-hexene,248.0,1,C\C=C/CCC,carroll11
150,cis-3-heptene,264.0,1,CC\C=C/CCC,carroll11
151,trans-3-heptene,266.0,1,CC\C=C\CCC,carroll11
152,trans-2-heptene,267.0,1,C\C=C\CCCC,carroll11
153,cis-2-heptene,267.0,1,C\C=C/CCCC,carroll11
154,trans-4-octene,281.0,1,CCC\C=C\CCC,carroll11
155,trans-3-octene,282.0,1,CC\C=C\CCCC,carroll11
156,cis-4-octene,290.0,1,CCC\C=C/CCC,carroll11
157,cis-3-octene,287.0,1,CC\C=C/CCCC,carroll11
158,trans-2-octene,287.0,1,C\C=C\CCCCC,carroll11
159,2-methyl-1-butene,226.0,1,CC(=C)CC,carroll11
160,2-methyl-2-butene,228.0,1,CC(C)=CC,carroll11
161,cyclopentene,243.0,1,C1=CCCC1,carroll11
162,4-methyl-1-pentene,241.0,1,CC(CC=C)C,carroll11
163,3-methyl-1-pentene,240.0,1,CC(C=C)CC,carroll11
164,cis-4-methyl-2-pentene,240.0,1,CC(\C=C/C)C,carroll11
165,trans-4-methyl-2-pentene,246.0,1,CC(/C=C/C)C,carroll11
166,2-methyl-1-pentene,246.0,1,CC(=C)CCC,carroll11
167,2-ethyl-1-butene,247.0,1,C(C)C(=C)CC,carroll11
168,"2,3-dimethyl-2-butene",253.0,1,CC(C)=C(C)C,carroll11
169,methylenecyclopentane,255.0,1,C=C1CCCC1,carroll11
170,1-methylcyclopentene,254.0,1,CC1=CCCC1,carroll11
171,"2,3,3-trimethyl-1-butene",256.0,1,CC(=C)C(C)(C)C,carroll11
172,cyclohexene,256.0,1,C1=CCCCC1,carroll11
173,3-methyl-1-hexene,255.0,1,CC(C=C)CCC,carroll11
174,"2,3-dimethyl-1-pentene",256.0,1,CC(=C)C(CC)C,carroll11
175,3-ethyl-1-pentene,256.0,1,C(C)C(C=C)CC,carroll11
176,5-methyl-1-hexene,263.0,1,CC(CCC=C)C,carroll11
177,4-methyl-1-hexene,258.0,1,CC(CC=C)CC,carroll11
178,2-methyl-1-hexene,265.0,1,CC(=C)CCCC,carroll11
179,2-ethyl-1-pentene,263.0,1,C(C)C(=C)CCC,carroll11
180,3-ethyl-2-pentene,267.0,1,C(C)C(=CC)CC,carroll11
181,2-norbornene,259.0,1,C12C=CC(CC1)C2,carroll11
182,"2,4,4-trimethyl-1-pentene",269.0,1,CC(=C)CC(C)(C)C,carroll11
183,4-methylcyclohexene,272.0,1,CC1CC=CCC1,carroll11
184,methylenecyclohexane,271.0,1,C=C1CCCCC1,carroll11
185,3-methylcyclohexene,270.0,1,CC1C=CCCC1,carroll11
186,"2,4,4-trimethyl-2-pentene",272.0,1,CC(C)=CC(C)(C)C,carroll11
187,1-methylcyclohexene,272.0,1,CC1=CCCCC1,carroll11
188,3-ethyl-1-hexene,274.0,1,C(C)C(C=C)CCC,carroll11
189,4-methyl-1-heptene,275.0,1,CC(CC=C)CCC,carroll11
190,2-methyl-1-heptene,283.0,1,CC(=C)CCCCC,carroll11
191,2-methyl-2-heptene,282.0,1,CC(C)=CCCCC,carroll11
192,allylcyclopentane,285.0,1,C(C=C)C1CCCC1,carroll11
193,vinylcyclohexane,294.0,1,C(=C)C1CCCCC1,carroll11
194,7-methyl-1-octene,291.0,1,CC(CCCCC=C)C,carroll11
195,2-carene,311.0,1,C12C=C(CCC1C2(C)C)C,carroll11
196,isoprene,225.0,1,C=CC(C)=C,carroll11
197,"2,3-dimethyl-1,3-butadiene",251.0,1,CC(=C)C(=C)C,carroll11
198,"4-methyl-1,3-pentadiene",255.0,1,CC(=CC=C)C,carroll11
199,"1,6-heptadiene",263.0,1,C=CCCCC=C,carroll11
200,"1,7-octadiene",278.0,1,C=CCCCCC=C,carroll11
201,"2,5-dimethyl-2,4-hexadiene",297.0,1,CC(C)=CC=C(C)C,carroll11
202,"1,8-nonadiene",299.0,1,C=CCCCCCC=C,carroll11
203,"1,3-cyclohexadiene",257.0,1,C1=CC=CCC1,carroll11
204,"1,4-cyclohexadiene",262.0,1,C1=CCC=CC1,carroll11
205,4-vinyl-1-cyclohexene,289.0,1,C(=C)C1CC=CCC1,carroll11
206,"1,5-cyclooctadiene",308.0,1,C1=CCCC=CCC1,carroll11
207,"2,5-norbornadiene",262.0,1,C12C=CC(C=C1)C2,carroll11
208,5-ethylidene-2-norbornene,302.0,1,C(C)=C1C2C=CC(C1)C2,carroll11
209,"1,3,5,7-cyclooctatetraene",295.0,1,C1=CC=CC=CC=C1,carroll11
210,1-pentyne,239.0,1,C#CCCC,carroll11
