,compound,flashpoint,pure substance,smiles,source
2802,Phenyltrimethoxysilane,358.15,1.0,C1(=CC=CC=C1)[Si](OC)(OC)OC,chen14
2803,Trimethylphenylsilane,313.15,1.0,C[Si](C1=CC=CC=C1)(C)C,chen14
2804,Cyclohexylmethyldimethoxysilane,343.15,1.0,C1(CCCCC1)C[SiH](OC)OC,chen14
2805,Hexyltrimethoxysilane,335.15,1.0,C(CCCCC)[Si](OC)(OC)OC,chen14
2806,Triisopropylsilane,310.15,1.0,C(C)(C)[SiH](C(C)C)C(C)C,chen14
2807,Tri-n-propylsilane,316.15,1.0,C(CC)[SiH](CCC)CCC,chen14
2808,Propyltris(dimethylsiloxy)silane,323.15,1.0,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,chen14
2809,Benzyltrimethylsilane,335.15,1.0,C(C1=CC=CC=C1)[Si](C)(C)C,chen14
2810,3-Methacryloxypropyltrimethoxysilane,365.15,1.0,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,chen14
2811,1-Heptynyltrimethylsilane,315.15,1.0,C(#CCCCCC)[Si](C)(C)C,chen14
2812,n-Octyldimethylchlorosilane,370.15,1.0,C(CCCCCCC)[Si](Cl)(C)C,chen14
2813,Bis(diethylamino)dimethylsilane,308.15,1.0,C(C)N(CC)[Si](C)(C)N(CC)CC,chen14
2814,Decamethyltetrasiloxane,335.15,1.0,C[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,chen14
2815,Decamethylcyclopentasiloxane,350.15,1.0,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,chen14
2816,"2-(3,4-epoxycyclohexyl)ethyltrimethoxysilane",419.15,1.0,C1(CC2C(CC1)O2)CC[Si](OC)(OC)OC,chen14
2817,n-Decylmethyldichlorosilane,393.15,1.0,C(CCCCCCCCC)[Si](Cl)(Cl)C,chen14
2818,Vinyltriethylsilane,318.15,1.0,C(=C)[Si](CC)(CC)CC,chen14
2819,Diphenyldichlorosilane,415.15,1.0,C1(=CC=CC=C1)[Si](Cl)(Cl)C1=CC=CC=C1,chen14
2820,Phenyltriethoxysilane,393.15,1.0,C1(=CC=CC=C1)[Si](OCC)(OCC)OCC,chen14
2821,Diphenylsilane,371.15,1.0,C1(=CC=CC=C1)[SiH2]C1=CC=CC=C1,chen14
2822,"2,4,6,8-Tetravinyl-2,4,6,8-tetramethylcyclotetrasiloxane",385.15,1.0,C(=C)[Si]1(O[Si](O[Si](O[Si](O1)(C)C=C)(C)C=C)(C)C=C)C,chen14
2823,n-Dodecyltrichlorosilane,435.15,1.0,C(CCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
2824,Tetra-n-propoxysilane,368.15,1.0,C(CC)O[Si](OCCC)(OCCC)OCCC,chen14
2825,Hexaethyldisiloxane,349.15,1.0,C(C)[Si](O[Si](CC)(CC)CC)(CC)CC,chen14
2826,Dodecamethylpentasiloxane,352.15,1.0,C[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
2827,Dodecamethylcyclohexasiloxane,366.15,1.0,C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,chen14
2828,Methyldiphenylchlorosilane,411.15,1.0,C[Si](Cl)(C1=CC=CC=C1)C1=CC=CC=C1,chen14
2829,n-Dodecylmethyldichlorosilane,416.15,1.0,C(CCCCCCCCCCC)[Si](Cl)(Cl)C,chen14
2830,Diphenyldimethoxysilane,394.15,1.0,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,chen14
2831,Octyltriethoxysilane,373.15,1.0,C(CCCCCCC)[Si](OCC)(OCC)OCC,chen14
2832,Tetradecamethylhexasiloxane,375.15,1.0,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
2833,Hexadecamethylheptasiloxane,406.15,1.0,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
2834,n-Octadecyltrichlorosilane,466.15,1.0,C(CCCCCCCCCCCCCCCCC)[Si](Cl)(Cl)Cl,chen14
2835,Octadecamethyloctasiloxane,417.15,1.0,C[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C)(C)C,chen14
2836,Vinyltris(methoxyethoxy)silane,353.15,1.0,C(=C)[Si](OCCOC)(OCCOC)OCCOC,chen14
