compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin
"Acetic acid, fluoro-, phenylhydrazone (8CI)",362.75,1,OC(CF)=NNc1ccccc1,le15,0,0,0
"Isocyanic acid, hexamethylene ester (8CI)",413.15,1,O=C=NCCCCCCN=C=O,le15,0,0,0
"Phosphonothioic acid, methyl-, O,S-diethyl ester",352.75,1,CCOP(C)(=O)SCC,le15,0,0,0
"Phosphonothioic acid, ethyl-, O-ethyl S-methyl ester",352.75,1,CCOP(=O)(CC)SC,le15,0,0,0
"2-Nonynoic acid, methyl ester",373.75,1,CCCCCCC#CC(=O)OC,le15,0,0,0
"2,6-Octadienoic acid, 3,7-dimethyl-",474.25,1,CC(C)=CCCC(C)=CC(=O)O,le15,0,0,0
"2-Butenoic acid, 2,3-dichloro-4-oxo-, (Z)- (9CI)",459.15,1,O=C/C(Cl)=C(/Cl)C(=O)O,le15,0,0,0
"Benzoic acid, 3,4,5-trihydroxy-",544.15,1,O=C(O)c1cc(O)c(O)c(O)c1,le15,0,0,0
"2,5-Hexadienoic acid, 3-methoxy-5-methyl-4-oxo-",386.65,1,C=C(C)C(=O)C(=CC(=O)O)OC,le15,0,0,0
"Methacrylic acid, tetrahydrofurfuryl ester (8CI)",364.15,1,C=C(C)C(=O)OCC1CCCO1,le15,0,0,0
"Hexanoic acid, 2-ethyl-, ethenyl ester",338.15,1,C=COC(=O)C(CC)CCCC,le15,0,0,0
"Methacrylic acid, hexyl ester (8CI)",345.25,1,C=C(C)C(=O)OCCCCCC,le15,0,0,0
"Heptanoic acid, 2-propenyl ester",355.35,1,C=CCOC(=O)CCCCCC,le15,0,0,0
"6-Octenoic acid, 3,7-dimethyl-",436.35,1,CC(C)=CCCC(C)CC(=O)O,le15,0,0,0
"Butanoic acid, cyclohexyl ester",351.15,1,CCCC(=O)OC1CCCCC1,le15,0,0,0
"2-Propenoic acid, heptyl ester",341.05,1,C=CC(=O)OCCCCCCC,le15,0,0,0
"Benzoic acid, p-chloro-, methyl ester (8CI)",379.85,1,COC(=O)c1ccc(Cl)cc1,le15,0,0,0
"Benzeneacetic acid, 2-chloro- (9CI)",404.85,1,O=C(O)Cc1ccccc1Cl,le15,0,0,0
"Carbonochloridic acid, phenylmethyl ester",280.15,1,O=C(Cl)OCc1ccccc1,le15,0,0,0
"Acetic acid, (p-chlorophenyl)-",404.85,1,O=C(O)Cc1ccc(Cl)cc1,le15,0,0,0
"2-Propenoic acid, 2-(diethylamino)ethyl ester",347.05,1,C=CC(=O)OCCN(CC)CC,le15,0,0,0
2-Naphthalenecarboxylic acid,424.45,1,O=C(O)c1ccc2ccccc2c1,le15,0,0,0
naphthalene-1-carboxylic acid,437.75,1,O=C(O)c1cccc2ccccc12,le15,0,0,0
"1,2-Cyclohexanedicarboxylic acid, cis-",473.45,1,O=C(O)[C@H]1CCCC[C@H]1C(=O)O,le15,0,0,0
"cyclohexane-1,4-dicarboxylic acid",508.15,1,O=C(O)C1CCC(C(=O)O)CC1,le15,0,0,0
"Benzenesulfonic acid, methyl ester",416.15,1,COS(=O)(=O)c1ccccc1,le15,0,0,0
"Pentanoic acid, 4-oxo-, butyl ester",364.15,1,CCCCOC(=O)CCC(C)=O,le15,0,0,0
"Acrylic acid, 2-butoxyethyl ester (8CI)",468.15,1,C=CC(=O)OCCOCCCC,le15,0,0,0
"Acetic acid, 2-ethylhexyl ester",344.55,1,CCCCC(CC)COC(C)=O,le15,0,0,0
"Octanoic acid, ethyl ester",348.15,1,CCCCCCCC(=O)OCC,le15,0,0,0
"Hexanoic acid, butyl ester",354.25,1,CCCCCC(=O)OCCCC,le15,0,0,0
"Nonanoic acid, methyl ester",357.55,1,CCCCCCCCC(=O)OC,le15,0,0,0
"Valeric acid, pentyl ester (8CI)",349.65,1,CCCCCOC(=O)CCCC,le15,0,0,0
"Propanoic acid, 2-methyl-, hexyl ester",346.45,1,CCCCCCOC(=O)C(C)C,le15,0,0,0
Decanoic acid,394.95,1,CCCCCCCCCC(=O)O,le15,0,0,0
"Butanoic acid, 3-methyl-, 3-methylbutyl ester",339.85,1,CC(C)CCOC(=O)CC(C)C,le15,0,0,0
"Butanoic acid, hexyl ester",354.25,1,CCCCCCOC(=O)CCC,le15,0,0,0
"Phosphorochloridic acid, diethyl ester",323.05,1,CCOP(=O)(Cl)OCC,le15,0,0,0
"Benzoic acid, 5-chloro-2-hydroxy-",420.75,1,O=C(O)c1cc(Cl)ccc1O,le15,0,0,0
8-Quinolinecarboxylic acid,460.65,1,O=C(O)c1cccc2cccnc12,le15,0,0,0
"Carbamic acid, 2-ethylhexyl ester",373.85,1,CCCCC(CC)COC(N)=O,le15,0,0,0
"Acetic acid, bromochloro-",356.85,1,O=C(O)C(Cl)Br,le15,0,0,0
"Isocyanic acid, 4-methyl-m-phenylene ester (8CI)",383.65,1,Cc1ccc(N=C=O)cc1N=C=O,le15,0,0,0
"2-Propynoic acid, 3-phenyl-, ethyl ester (9CI)",398.05,1,CCOC(=O)C#Cc1ccccc1,le15,0,0,0
"Butanedioic acid, diethyl ester",372.65,1,CCOC(=O)CCC(=O)OCC,le15,0,0,0
"Malonic acid, methyl-, diethyl ester (8CI)",349.85,1,CCOC(=O)C(C)C(=O)OCC,le15,0,0,0
3-ethyl-3-methylpentanedioic acid,430.45,1,CCC(C)(CC(=O)O)CC(=O)O,le15,0,0,0
"1,3-Dioxolane-2-acetic acid, 2-methyl-, ethyl ester",353.95,1,CCOC(=O)CC1(C)OCCO1,le15,0,0,0
Octanedioic acid,459.65,1,O=C(O)CCCCCCC(=O)O,le15,0,0,0
"Hexanedioic acid, 1,6-dimethyl ester",380.35,1,COC(=O)CCCCC(=O)OC,le15,0,0,0
"Adipic acid, dihydrazide (8CI)",541.05,1,NNC(=O)CCCCC(=O)NN,le15,0,0,0
"Propaneperoxoic acid, 2,2-dimethyl-, 1,1-dimethylethyl ester",326.65,1,CC(C)(C)OOC(=O)C(C)(C)C,le15,0,0,0
Indole-3-acetic acid (8CI),477.95,1,O=C(O)Cc1c[nH]c2ccccc12,le15,0,0,0
"2,3,3-trichloroprop-2-enoic acid",397.55,1,O=C(O)C(Cl)=C(Cl)Cl,le15,0,0,0
L-Ascorbic acid,453.55,1,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,le15,0,0,0
"Fumaric acid, dihydroxy-, dimethyl ester",383.95,1,COC(=O)/C(O)=C(\O)C(=O)OC,le15,0,0,0
"2-Propenoic acid, 3-phenyl-, ethyl ester",421.75,1,CCOC(=O)C=Cc1ccccc1,le15,0,0,0
"Benzeneacetic acid, 2-propenyl ester",386.15,1,C=CCOC(=O)Cc1ccccc1,le15,0,0,0
"2-Propenoic acid, 2-methyl-, phenylmethyl ester",380.35,1,C=C(C)C(=O)OCc1ccccc1,le15,0,0,0
"Benzenesulfinic acid, 4-chloro-",447.05,1,O=S(O)c1ccc(Cl)cc1,le15,0,0,0
"2-Furanacrylic acid, alpha-cyano-, methyl ester",401.25,1,COC(=O)C(C#N)=Cc1ccco1,le15,0,0,0
"Anthranilic acid, allyl ester (8CI)",429.25,1,C=CCOC(=O)c1ccccc1N,le15,0,0,0
"Carbamodithioic acid, diethyl-, ethyl ester",365.25,1,CCSC(=S)N(CC)CC,le15,0,0,0
"Propanoic acid, 2,2,3-trichloro-",361.95,1,O=C(O)C(Cl)(Cl)CCl,le15,0,0,0
"Propanoic acid, 3,3'-thiobis-",401.15,1,O=C(O)CCSCCC(=O)O,le15,0,0,0
"Propanoic acid, 2-methyl-, phenylmethyl ester",368.65,1,CC(C)C(=O)OCc1ccccc1,le15,0,0,0
"Propanoic acid, 2-methyl-, 4-methylphenyl ester",366.95,1,Cc1ccc(OC(=O)C(C)C)cc1,le15,0,0,0
"Benzoic acid, isobutyl ester (6CI,7CI,8CI)",374.55,1,CC(C)COC(=O)c1ccccc1,le15,0,0,0
"Propanoic acid, 2-phenylethyl ester",367.55,1,CCC(=O)OCCc1ccccc1,le15,0,0,0
"Benzoic acid, butyl ester",380.15,1,CCCCOC(=O)c1ccccc1,le15,0,0,0
"Acetic acid, alpha-methyl-phenethyl ester",376.15,1,CC(=O)OC(C)Cc1ccccc1,le15,0,0,0
"2-Propenoic acid, bicyclo(2.2.1)hept-5-en-2-ylmethyl ester",395.55,1,C=CC(=O)OCC1CC2C=CC1C2,le15,0,0,0
"Benzoic acid, 4-(1,1-dimethylethyl)-",408.05,1,CC(C)(C)c1ccc(C(=O)O)cc1,le15,0,0,0
"Butanoic acid, phenylmethyl ester",421.722,1,CCCC(=O)OCc1ccccc1,le15,0,0,0
"Benzeneacetic acid, 1-methylethyl ester",370.65,1,CC(C)OC(=O)Cc1ccccc1,le15,0,0,0
"Phosphorodichloridothioic acid, O-ethyl ester",336.15,1,CCOP(=S)(Cl)Cl,le15,0,0,0
"2-Propenoic acid, 2-bromoethyl ester (9CI)",340.75,1,C=CC(=O)OCCBr,le15,0,0,0
"Benzoic acid, p-acetamido- (8CI)",492.85,1,CC(=O)Nc1ccc(C(=O)O)cc1,le15,0,0,0
"Carbamic acid, phenyl-, 1-methylethyl ester",284.15,1,CC(C)OC(=O)Nc1ccccc1,le15,0,0,0
"2-Pyridinecarboxylic acid, 5-butyl-",426.05,1,CCCCc1ccc(C(=O)O)nc1,le15,0,0,0
"Carbamic acid, alpha-methylphenethyl ester",445.55,1,CC(Cc1ccccc1)OC(N)=O,le15,0,0,0
"Carbamic acid, methyl-, 3,4-xylyl ester",389.35,1,CNC(=O)Oc1ccc(C)c(C)c1,le15,0,0,0
"Benzoic acid, 2-(acetyloxy)-",523.15,1,CC(=O)Oc1ccccc1C(=O)O,le15,0,0,0
"2-Propenoic acid, 3-(3,4-dihydroxyphenyl)- (9CI)",493.15,1,O=C(O)C=Cc1ccc(O)c(O)c1,le15,0,0,0
4-methoxycarbonylbenzoic acid,409.15,1,COC(=O)c1ccc(C(=O)O)cc1,le15,0,0,0
"Phosphonic acid, methyl-, bis(1-methylethyl) ester",370.85,1,CC(C)OP(C)(=O)OC(C)C,le15,0,0,0
"Benzoic acid, 4-hydroxy-, propyl ester",397.75,1,CCCOC(=O)c1ccc(O)cc1,le15,0,0,0
"Benzoic acid, 4-methoxy-, ethyl ester",379.25,1,CCOC(=O)c1ccc(OC)cc1,le15,0,0,0
2-phenoxybutanoic acid,388.45,1,CCC(Oc1ccccc1)C(=O)O,le15,0,0,0
"Butanoic acid, 2-amino-4-(S-methylsulfonimidoyl)- (9CI)",439.95,1,CS(=N)(=O)CCC(N)C(=O)O,le15,0,0,0
"Propionic acid, 2-bromo-, ethyl ester (6CI,7CI,8CI)",331.55,1,CCOC(=O)C(C)Br,le15,0,0,0
"Valeric acid, 2-bromo- (8CI)",367.35,1,CCCC(Br)C(=O)O,le15,0,0,0
"Butanoic acid, 2-bromo-, methyl ester",331.55,1,CCC(Br)C(=O)OC,le15,0,0,0
"Propionic acid, 3-bromo-, ethyl ester (8CI)",343.15,1,CCOC(=O)CCBr,le15,0,0,0
"Butanoic acid, 2-bromo-3-methyl-",380.15,1,CC(C)C(Br)C(=O)O,le15,0,0,0
"Pentanoic acid, 5-bromo-",387.55,1,O=C(O)CCCCBr,le15,0,0,0
"Benzoic acid, 2-methyl-3-nitro-",425.05,1,Cc1c(C(=O)O)cccc1[N+](=O)[O-],le15,0,0,0
"Benzoic acid, 2-methyl-5-nitro-",432.75,1,Cc1ccc([N+](=O)[O-])cc1C(=O)O,le15,0,0,0
"Benzoic acid, 5-methyl-2-nitro-",438.15,1,Cc1ccc([N+](=O)[O-])c(C(=O)O)c1,le15,0,0,0
"Acetic acid, (o-nitrophenyl)-",429.05,1,O=C(O)Cc1ccccc1[N+](=O)[O-],le15,0,0,0
"Benzoic acid, 3-methyl-2-nitro-",426.508,1,Cc1cccc(C(=O)O)c1[N+](=O)[O-],le15,0,0,0
"p-Toluic acid, 3-nitro- (8CI)",432.15,1,Cc1ccc(C(=O)O)c([N+](=O)[O-])c1,le15,0,0,0
"Acetic acid, (p-nitrophenyl)-",444.75,1,O=C(O)Cc1ccc([N+](=O)[O-])cc1,le15,0,0,0
"Benzeneacetic acid, 3-nitro- (9CI)",442.95,1,O=C(O)Cc1cccc([N+](=O)[O-])c1,le15,0,0,0
"Benzoic acid, 3-methyl-4-nitro-",434.35,1,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],le15,0,0,0
"Benzoic acid, 2-amino-4-nitro-",487.85,1,Nc1cc([N+](=O)[O-])ccc1C(=O)O,le15,0,0,0
"Phosphoric acid, triethyl ester",388.75,1,CCOP(=O)(OCC)OCC,le15,0,0,0
"Benzoic acid, 2,6-dimethoxy-",399.65,1,COc1cccc(OC)c1C(=O)O,le15,0,0,0
"Phosphonofluoridic acid, methyl-, 1,2,2-trimethylpropyl ester",348.65,1,CC(OP(C)(=O)F)C(C)(C)C,le15,0,0,0
"Butanedioic acid, 2,3-dimercapto-",388.772,1,O=C(O)C(S)C(S)C(=O)O,le15,0,0,0
"Phosphonothioic acid, ethyl-, O,O-diethyl ester",345.35,1,CCOP(=S)(CC)OCC,le15,0,0,0
"Phosphonothioic acid, ethyl-, O,S-diethyl ester",364.85,1,CCOP(=O)(CC)SCC,le15,0,0,0
"Cyclohexaneacetic acid, 2-propenyl ester",371.95,1,C=CCOC(=O)CC1CCCCC1,le15,0,0,0
"2-Propenoic acid, 3-(4-chlorophenyl)- (9CI)",423.65,1,O=C(O)C=Cc1ccc(Cl)cc1,le15,0,0,0
"Phosphorofluoridic acid, bis(1-methylethyl) ester",337.65,1,CC(C)OP(=O)(F)OC(C)C,le15,0,0,0
"2-Propenoic acid, 2-ethylhexyl ester",352.55,1,C=CC(=O)OCC(CC)CCCC,le15,0,0,0
"Octanoic acid, 2-propenyl ester",368.15,1,C=CCOC(=O)CCCCCCC,le15,0,0,0
10-Undecenoic acid,418.965,1,C=CCCCCCCCCC(=O)O,le15,0,0,0
"1H-Imidazole-1-acetic acid, 2-methyl-5-nitro-",514.75,1,Cc1ncc([N+](=O)[O-])n1CC(=O)O,le15,0,0,0
"Isothiocyanic acid, 1-naphthyl ester",440.35,1,S=C=Nc1cccc2ccccc12,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-(diethylamino)ethyl ester",349.85,1,C=C(C)C(=O)OCCN(CC)CC,le15,0,0,0
"Carbamic acid, methyl-, 2-chlorophenyl ester",380.45,1,CNC(=O)Oc1ccccc1Cl,le15,0,0,0
"Phosphonic acid, phenyl-, O,O-dimethyl ester",390.45,1,COP(=O)(OC)c1ccccc1,le15,0,0,0
"7-Oxabicyclo(2.2.1)heptane-2,3-dicarboxylic acid",463.65,1,O=C(O)C1C2CCC(O2)C1C(=O)O,le15,0,0,0
"Hexanedioic acid, ethenyl methyl ester (9CI)",378.15,1,C=COC(=O)CCCCC(=O)OC,le15,0,0,0
"Benzenesulfonic acid, ethyl ester",398.65,1,CCOS(=O)(=O)c1ccccc1,le15,0,0,0
"Phosphorodithioic acid, O,O-diethyl ester",355.95,1,CCOP(=S)([S-])OCC,le15,0,0,0
"Cyclohexaneacetic acid, alpha-ethyl-1-hydroxy-",443.25,1,CCC(C(=O)O)C1(O)CCCCC1,le15,0,0,0
"Decanoic acid, 9-oxo-",444.95,1,CC(=O)CCCCCCCC(=O)O,le15,0,0,0
"Decanoic acid, methyl ester",363.15,1,CCCCCCCCCC(=O)OC,le15,0,0,0
Undecanoic acid,401.35,1,CCCCCCCCCCC(=O)O,le15,0,0,0
"Nonanoic acid, ethyl ester",367.55,1,CCCCCCCCC(=O)OCC,le15,0,0,0
"Hexanoic acid, pentyl ester",361.05,1,CCCCCOC(=O)CCCCC,le15,0,0,0
"Octanoic acid, propyl ester",361.05,1,CCCCCCCC(=O)OCCC,le15,0,0,0
"Hexanoic acid, 3-methylbutyl ester",358.15,1,CCCCCC(=O)OCCC(C)C,le15,0,0,0
"Propanoic acid, 2,2-dimethyl-, hexyl ester",349.85,1,CCCCCCOC(=O)C(C)(C)C,le15,0,0,0
"Acetic acid, (4-chlorophenoxy)-",417.55,1,O=C(O)COc1ccc(Cl)cc1,le15,0,0,0
"Isocyanic acid, (m-trifluoromethylphenyl) ester",331.15,1,O=C=Nc1cccc(C(F)(F)F)c1,le15,0,0,0
"Isocyanic acid, (alpha,alpha,alpha-trifluoro-o-tolyl) ester",342.15,1,O=C=Nc1ccccc1C(F)(F)F,le15,0,0,0
"1H-Azepine-1-carbothioic acid, hexahydro-, S-ethyl ester",395.75,1,CCSC(=O)N1CCCCCC1,le15,0,0,0
"Isocyanic acid, 3,4-dichlorophenyl ester",383.15,1,O=C=Nc1ccc(Cl)c(Cl)c1,le15,0,0,0
"2-Naphthalenecarboxylic acid, 3-hydroxy-",463.55,1,O=C(O)c1cc2ccccc2cc1O,le15,0,0,0
"Isocyanic acid, m-phenylenedimethylene ester",392.25,1,O=C=NCc1cccc(CN=C=O)c1,le15,0,0,0
"Isocyanic acid, p-xylylene ester",393.05,1,O=C=NCc1ccc(CN=C=O)cc1,le15,0,0,0
"2-Propenoic acid, 3-phenyl-, 2-propenyl ester",436.65,1,C=CCOC(=O)C=Cc1ccccc1,le15,0,0,0
Nonanedioic acid,465.25,1,O=C(O)CCCCCCCC(=O)O,le15,0,0,0
"Malonic acid, ethyl-, diethyl ester (8CI)",361.15,1,CCOC(=O)C(CC)C(=O)OCC,le15,0,0,0
"Phosphorochloridothioic acid, O,O-diethyl ester",348.95,1,CCOP(=S)(Cl)OCC,le15,0,0,0
"Quinaldic acid, 4-hydroxy- (8CI)",443.65,1,O=C(O)c1cc(O)c2ccccc2n1,le15,0,0,0
"Glutamic acid, N-acetyl- (6CI,7CI)",526.85,1,CC(=O)N[C@@H](CCC(=O)O)C(=O)O,le15,0,0,0
3-(Indol-3-yl)propionic acid,284.85,1,O=C(O)CCc1c[nH]c2ccccc12,le15,0,0,0
"Benzeneacetic acid, alpha-cyano-, ethyl ester",410.65,1,CCOC(=O)C(C#N)c1ccccc1,le15,0,0,0
3-(trifluoromethyl)benzoic acid,376.05,1,O=C(O)c1cccc(C(F)(F)F)c1,le15,0,0,0
"2H-1-Benzopyran-3-carboxylic acid, 2-oxo-",435.85,1,O=C(O)c1cc2ccccc2oc1=O,le15,0,0,0
"2-Propenoic acid, 2-methyl-, 2-phenylethyl ester",430.65,1,C=C(C)C(=O)OCCc1ccccc1,le15,0,0,0
"2-Propenoic acid, 3-phenyl-, propyl ester",429.25,1,CCCOC(=O)C=Cc1ccccc1,le15,0,0,0
"Benzoic acid, 2,6-dichloro-",407.65,1,O=C(O)c1c(Cl)cccc1Cl,le15,0,0,0
"Benzoic acid, 2,3-dichloro-",412.55,1,O=C(O)c1cccc(Cl)c1Cl,le15,0,0,0
"Benzoic acid, 2,5-dichloro-",408.95,1,O=C(O)c1cc(Cl)ccc1Cl,le15,0,0,0
"Benzoic acid, 2,4-dichloro-",414.15,1,O=C(O)c1ccc(Cl)cc1Cl,le15,0,0,0
"Benzoic acid, 3,4-dichloro-",419.15,1,O=C(O)c1ccc(Cl)c(Cl)c1,le15,0,0,0
"Benzoic acid, 3,5-dichloro-",413.85,1,O=C(O)c1cc(Cl)cc(Cl)c1,le15,0,0,0
"1H-Indole-3-acetic acid, 5-hydroxy-",527.55,1,O=C(O)Cc1c[nH]c2ccc(O)cc12,le15,0,0,0
2-amino-4-butylsulfanylbutanoic acid,429.95,1,CCCCSCCC(N)C(=O)O,le15,0,0,0
"2-Pyridinecarboxylic acid, 3,6-dichloro-",422.729,1,O=C(O)c1nc(Cl)ccc1Cl,le15,0,0,0
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-",428.35,1,O=C(O)CC(O)(CC(=O)O)C(=O)O,le15,0,0,0
"Oxiranecarboxylic acid, 3-phenyl-, ethyl ester",386.15,1,CCOC(=O)C1OC1c1ccccc1,le15,0,0,0
"Acetic acid, phenoxy-, 2-propenyl ester",408.15,1,C=CCOC(=O)COc1ccccc1,le15,0,0,0
"Butanoic acid, 3-methyl-, phenylmethyl ester",372.05,1,CC(C)CC(=O)OCc1ccccc1,le15,0,0,0
"Propanoic acid, 2-methyl-, 2-phenylethyl ester",378.95,1,CC(C)C(=O)OCCc1ccccc1,le15,0,0,0
"Acetic acid, phenyl-, butyl ester",377.85,1,CCCCOC(=O)Cc1ccccc1,le15,0,0,0
"Benzeneacetic acid, 4-(2-methylpropyl)-",482.45,1,CC(C)Cc1ccc(CC(=O)O)cc1,le15,0,0,0
"Butanoic acid, 2-phenylethyl ester",383.05,1,CCCC(=O)OCCc1ccccc1,le15,0,0,0
"Benzoic acid, pentyl ester",386.35,1,CCCCCOC(=O)c1ccccc1,le15,0,0,0
"Nonanoic acid, 9-chloro-",409.05,1,O=C(O)CCCCCCCCCl,le15,0,0,0
"Carbonochloridic acid, 2-ethylhexyl ester",354.85,1,CCCCC(CC)COC(=O)Cl,le15,0,0,0
"2-Propenoic acid, 3-(3-nitrophenyl)-",439.65,1,O=C(O)C=Cc1cccc([N+](=O)[O-])c1,le15,0,0,0
"Cinnamic acid, o-nitro- (6CI,7CI,8CI)",444.95,1,O=C(O)C=Cc1ccccc1[N+](=O)[O-],le15,0,0,0
"2-Propenoic acid, 3-(4-nitrophenyl)-",427.05,1,O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,le15,0,0,0
"Carbamic acid, methyl-, 2,3-dihydro-7-benzofuranyl ester",412.55,1,CNC(=O)Oc1cccc2c1OCC2,le15,0,0,0
"Carbamic acid, methyl-, 2,3,4-trimethylphenyl ester",403.45,1,CNC(=O)Oc1ccc(C)c(C)c1C,le15,0,0,0
"Benzoic acid, 4-amino-, butyl ester",457.75,1,CCCCOC(=O)c1ccc(N)cc1,le15,0,0,0
"Anthranilic acid, butyl ester (6CI,7CI,8CI)",426.35,1,CCCCOC(=O)c1ccccc1N,le15,0,0,0
"Benzoic acid, 2-amino-, 2-methylpropyl ester",421.05,1,CC(C)COC(=O)c1ccccc1N,le15,0,0,0
"1,4-Benzenedicarboxylic acid, dimethyl ester",421.15,1,COC(=O)c1ccc(C(=O)OC)cc1,le15,0,0,0
"Acetic acid, (3,4-methylenedioxy)benzyl ester",386.15,1,CC(=O)OCc1ccc2c(c1)OCO2,le15,0,0,0
"2-Propenoic acid, 3-(3-hydroxy-4-methoxyphenyl)-",440.75,1,COc1ccc(C=CC(=O)O)cc1O,le15,0,0,0
"2-Propenoic acid, 3-(4-hydroxy-3-methoxyphenyl)-",423.65,1,COc1cc(C=CC(=O)O)ccc1O,le15,0,0,0
"1,2-Benzenedicarboxylic acid, dimethyl ester",423.15,1,COC(=O)c1ccccc1C(=O)OC,le15,0,0,0
"Benzoic acid, 2-acetamido-6-amino-",509.25,1,CC(=O)Nc1cccc(N)c1C(=O)O,le15,0,0,0
"Phosphonic acid, dibutyl ester",394.15,1,CCCCO[PH](=O)OCCCC,le15,0,0,0
"Benzoic acid, 2-hydroxy-, 2-methylpropyl ester",383.15,1,CC(C)COC(=O)c1ccccc1O,le15,0,0,0
"Benzoic acid, 4-hydroxy-, butyl ester",402.35,1,CCCCOC(=O)c1ccc(O)cc1,le15,0,0,0
"Benzenecarboperoxoic acid, 1,1-dimethylethyl ester",382.85,1,CC(C)(C)OOC(=O)c1ccccc1,le15,0,0,0
"Benzoic acid, 2-hydroxy-, butyl ester",380.15,1,CCCCOC(=O)c1ccccc1O,le15,0,0,0
"Benzoic acid, 4-hydroxy-, 2-methylpropyl ester (9CI)",398.55,1,CC(C)COC(=O)c1ccc(O)cc1,le15,0,0,0
"Propanedioic acid, chloro-, diethyl ester",376.45,1,CCOC(=O)C(Cl)C(=O)OCC,le15,0,0,0
"Butyric acid, 2-bromo-, ethyl ester (8CI)",342.65,1,CCOC(=O)C(Br)CC,le15,0,0,0
"Butanoic acid, 4-bromo-, ethyl ester (9CI)",363.75,1,CCOC(=O)CCCBr,le15,0,0,0
"Valeric acid, 5-bromo-, methyl ester (8CI)",372.55,1,COC(=O)CCCCBr,le15,0,0,0
"Propanoic acid, 2-bromo-2-methyl-, ethyl ester",333.15,1,CCOC(=O)C(C)(C)Br,le15,0,0,0
"Hexanoic acid, 6-bromo-",340.15,1,O=C(O)CCCCCBr,le15,0,0,0
"Benzoic acid, 4-nitro-, ethyl ester",421.35,1,CCOC(=O)c1ccc([N+](=O)[O-])cc1,le15,0,0,0
"Cyclohexanepropanoic acid, 2-propenyl ester",381.85,1,C=CCOC(=O)CCC1CCCCC1,le15,0,0,0
"Phosphonodithious acid, methyl-, dipropyl ester",382.15,1,CCCSP(C)SCCC,le15,0,0,0
"Isocyanic acid, p-bromophenyl ester (6CI,7CI,8CI)",382.15,1,O=C=Nc1ccc(Br)cc1,le15,0,0,0
2-phenylbenzoic acid,616.65,1,O=C(O)c1ccccc1-c1ccccc1,le15,0,0,0
"Hexanedioic acid, diethenyl ester (9CI)",395.35,1,C=COC(=O)CCCCC(=O)OC=C,le15,0,0,0
"Carbonic acid, ethyl octynyl ester",372.55,1,CCCCCCC#COC(=O)OCC,le15,0,0,0
"Propanedioic acid, 2-propenyl-, diethyl ester",365.15,1,CC=CC(C(=O)OCC)C(=O)OCC,le15,0,0,0
"Propanedioic acid, (1-methylethylidene)-, diethyl ester",382.55,1,CCOC(=O)C(C(=O)OCC)=C(C)C,le15,0,0,0
"Benzenesulfonic acid, 4-methyl-, ethyl ester",430.15,1,CCOS(=O)(=O)c1ccc(C)cc1,le15,0,0,0
"Barbituric acid, 1,3-diethyl-2-thio- (8CI)",392.35,1,CCN1C(=O)CC(=O)N(CC)C1=S,le15,0,0,0
"Decanoic acid, ethyl ester",375.15,1,CCCCCCCCCC(=O)OCC,le15,0,0,0
"Acetic acid, decyl ester",374.45,1,CCCCCCCCCCOC(C)=O,le15,0,0,0
"Undecanoic acid, methyl ester",382.55,1,CCCCCCCCCCC(=O)OC,le15,0,0,0
"Isobutyric acid, octyl ester (6CI,7CI,8CI)",367.15,1,CCCCCCCCOC(=O)C(C)C,le15,0,0,0
"Propanoic acid, 2-(3-chlorophenoxy)-",419.55,1,CC(Oc1cccc(Cl)c1)C(=O)O,le15,0,0,0
"Acetic acid, (4-chloro-2-methylphenoxy)-",424.75,1,Cc1cc(Cl)ccc1OCC(=O)O,le15,0,0,0
3-bromobenzoic acid,413.35,1,O=C(O)c1cccc(Br)c1,le15,0,0,0
"Carbamic acid, methyl-, 1-naphthyl ester",426.15,1,CNC(=O)Oc1cccc2ccccc12,le15,0,0,0
"Isocyanic acid, p-isopropenyl-alpha,alpha-dimethylbenzyl ester",357.15,1,C=C(C)c1ccc(C(C)(C)N=C=O)cc1,le15,0,0,0
"Undecanoic acid, 11-amino-",429.45,1,NCCCCCCCCCCC(=O)O,le15,0,0,0
"Benzoic acid, 4-chloro-3-nitro-",451.65,1,O=C(O)c1ccc(Cl)c([N+](=O)[O-])c1,le15,0,0,0
"Phosphorous acid, tri-2-propenyl ester",359.85,1,C=CCOP(OCC=C)OCC=C,le15,0,0,0
"Acetic acid, (2-naphthalenyloxy)-",428.95,1,O=C(O)COc1ccc2ccccc2c1,le15,0,0,0
Decanedioic acid,471.45,1,O=C(O)CCCCCCCCC(=O)O,le15,0,0,0
"Butanedioic acid, dipropyl ester",384.55,1,CCCOC(=O)CCC(=O)OCCC,le15,0,0,0
"Octanedioic acid, dimethyl ester",384.55,1,COC(=O)CCCCCCC(=O)OC,le15,0,0,0
"Hexanedioic acid, diethyl ester",384.55,1,CCOC(=O)CCCCC(=O)OCC,le15,0,0,0
4-(Indol-3-yl)butyric acid,484.95,1,O=C(O)CCCc1c[nH]c2ccccc12,le15,0,0,0
"Carbamothioic acid, butylethyl-, S-propyl ester (9CI)",391.95,1,CCCCN(CC)C(=O)SCCC,le15,0,0,0
