compound,flashpoint,pure substance,smiles,source,is_silicon,is_metallic,is_tin
2-methylhexanoicacid,378,1,CC(C(=O)O)CCCC,carroll11,0,0,0
3-methylhexanoicacid,376,1,CC(CC(=O)O)CCC,carroll11,0,0,0
4-methylhexanoicacid,376,1,CC(CCC(=O)O)CC,carroll11,0,0,0
acrylicacid,327,1,C(C=C)(=O)O,carroll11,0,0,0
trans-2-pentenoicacid,375,1,C(\C=C\CC)(=O)O,carroll11,0,0,0
Acetic acid,316.15,1,CC(=O)O,hazardous materials,0,0,0
Acrylic acid,325.15,1,C=CC(=O)O,hazardous materials,0,0,0
Adipic acid,464.15,1,O=C(O)CCCCC(=O)O,hazardous materials,0,0,0
Benzoic acid,394.15,1,O=C(O)c1ccccc1,hazardous materials,0,0,0
n-Butyric acid,339.15,1,CCCC(=O)O,hazardous materials,0,0,0
Caproic acid,375.15,1,CCCCCC(=O)O,hazardous materials,0,0,0
Formic acid,342.15,1,O=CO,hazardous materials,0,0,0
Hydrocyanic acid,255.15,1,C#N,hazardous materials,0,0,0
Octanoic acid,405.15,1,CCCCCCCC(=O)O,hazardous materials,0,0,0
Oleic acid,462.15,1,CCCCCCCC/C=C\CCCCCCCC(=O)O,hazardous materials,0,0,0
Picric acid,423.15,1,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,hazardous materials,0,0,0
Propionic acid,327.15,1,CCC(=O)O,hazardous materials,0,0,0
Pyruvic acid,276.15,1,CC(=O)C(=O)O,hazardous materials,0,0,0
Salicylic acid,430.15,1,O=C(O)c1ccccc1O,hazardous materials,0,0,0
Stearic acid,469.15,1,CCCCCCCCCCCCCCCCCC(=O)O,hazardous materials,0,0,0
Valeric acid,369.15,1,CCCCC(=O)O,hazardous materials,0,0,0
Formicacid,342,1,O=CO,le15,0,0,0
carbonic acid,442.95,1,O=C(O)O,le15,0,0,0
2-Propynoic acid,332.05,1,C#CC(=O)O,le15,0,0,0
"Formic acid, ethenyl ester",289.15,1,C=COC=O,le15,0,0,0
2-Propenoic acid,341.15,1,C=CC(=O)O,le15,0,0,0
"Thiocyanic acid, methyl ester",311.15,1,CSC#N,le15,0,0,0
"Acetic acid, 2-oxo-",377.05,1,O=CC(=O)O,le15,0,0,0
"Acetic acid, hydrazide",375.75,1,CC(=O)NN,le15,0,0,0
"Carbamic acid, methyl ester",378.35,1,COC(N)=O,le15,0,0,0
"Acetic acid, hydroxy-",401.85,1,O=C(O)CO,le15,0,0,0
Ethaneperoxoic acid,314.15,1,CC(=O)OO,le15,0,0,0
ethanethioic S-acid,284.25,1,CC(=O)S,le15,0,0,0
methylphosphonous acid,343.35,1,CP(O)O,le15,0,0,0
"Isocyanic acid, allyl ester",316.15,1,C=CCN=C=O,le15,0,0,0
but-2-ynoic acid,364.05,1,CC#CC(=O)O,le15,0,0,0
"Acetic acid, cyano-",380.95,1,N#CCC(=O)O,le15,0,0,0
"2-Propenoic acid, 2-methyl-",347.322,1,C=C(C)C(=O)O,le15,0,0,0
(Z)-but-2-enoic acid,354.75,1,C/C=C\C(=O)O,le15,0,0,0
But-3-enoic acid,341.35,1,C=CCC(=O)O,le15,0,0,0
cyclopropanecarboxylic acid,344.85,1,O=C(O)C1CC1,le15,0,0,0
"Formic acid, allyl ester (8CI)",279.65,1,C=CCOC=O,le15,0,0,0
2-Butenoic acid,361.15,1,CC=CC(=O)O,le15,0,0,0
"2-Propenoic acid, methyl ester",279.817,1,C=CC(=O)OC,le15,0,0,0
"2-Butenoic acid, (E)- (9CI)",354.75,1,C/C=C/C(=O)O,le15,0,0,0
Crotonicacid,361,1,C/C=C/C(=O)O,le15,0,0,0
"Isothiocyanic acid, ethyl ester",305.35,1,CCN=C=S,le15,0,0,0
2-oxopropanoic acid,327.45,1,CC(=O)C(=O)O,le15,0,0,0
"Propanoic acid, 2-methyl-",331.35,1,CC(C)C(=O)O,le15,0,0,0
Butanoic acid,342.15,1,CCCC(=O)O,le15,0,0,0
Acetic acid ethyl ester,269.15,1,CCOC(C)=O,le15,0,0,0
"Propanoic acid, methyl ester",271.15,1,CCC(=O)OC,le15,0,0,0
2methylpropanoicacid,329,1,CC(C)C(=O)O,le15,0,0,0
"Carbamic acid, ethyl ester",370.35,1,CCOC(N)=O,le15,0,0,0
"Propanoic acid, 2-hydroxy-",383.086,1,CC(O)C(=O)O,le15,0,0,0
"Carbonic acid, dimethyl ester",291.15,1,COC(=O)OC,le15,0,0,0
"Acetic acid, 2-methoxy-",394.15,1,COCC(=O)O,le15,0,0,0
"Propanoic acid, 2-hydroxy-, (S)- (9CI)",383.05,1,C[C@H](O)C(=O)O,le15,0,0,0
"Carbazic acid, methyl ester (8CI)",359.25,1,COC(=O)NN,le15,0,0,0
"Acetic acid, fluoro-, methyl ester",290.75,1,COC(=O)CF,le15,0,0,0
"Acetic acid, mercapto-",372.95,1,O=C(O)CS,le15,0,0,0
dimethylphosphinic acid,410.85,1,CP(C)(=O)O,le15,0,0,0
"Acetic acid, chloro-",399.15,1,O=C(O)CCl,le15,0,0,0
"Carbonochloridic acid, methyl ester",280.95,1,COC(=O)Cl,le15,0,0,0
"Acetic acid, 2,2-difluoro-",351.15,1,O=C(O)C(F)F,le15,0,0,0
Methanesulphonic acid,462.15,1,CS(=O)(=O)O,le15,0,0,0
"Phosphonofluoridic acid, methyl-",318.75,1,CP(=O)(O)F,le15,0,0,0
"Acrylic acid, vinyl ester (6CI,7CI,8CI)",286.65,1,C=COC(=O)C=C,le15,0,0,0
"Ethanimidic acid, N-cyano-, methyl ester",292.05,1,COC(C)=NC#N,le15,0,0,0
"Isocyanic acid, butyl ester",290.95,1,CCCCN=C=O,le15,0,0,0
"Isothiocyanic acid, allyl ester",309.45,1,C=CCN=C=S,le15,0,0,0
"2-Propenoic acid, 2-methyl-, methyl ester",283.15,1,C=C(C)C(=O)OC,le15,0,0,0
"2-Propenoic acid, ethyl ester",288.706,1,C=CC(=O)OCC,le15,0,0,0
"2-Butenoic acid, 3-methyl-",369.15,1,CC(C)=CC(=O)O,le15,0,0,0
(Z)-2-methylbut-2-enoic acid,369.05,1,C/C=C(/C)C(=O)O,le15,0,0,0
4-Pentenoic acid,362.15,1,C=CCCC(=O)O,le15,0,0,0
"Acetic acid, 2-propenyl ester",279.85,1,C=CCOC(C)=O,le15,0,0,0
"2-Butenoic acid, methyl ester, (2E)-",277.15,1,C/C=C/C(=O)OC,le15,0,0,0
cyclobutanecarboxylic acid,356.15,1,O=C(O)C1CCC1,le15,0,0,0
2-methylcyclopropane-1-carboxylic acid,360.95,1,CC1CC1C(=O)O,le15,0,0,0
3-oxobutanoic acid,384.95,1,CC(=O)CC(=O)O,le15,0,0,0
"Propanoic acid, 2,2-dimethyl-",341.45,1,CC(C)(C)C(=O)O,le15,0,0,0
"Propanoic acid, ethyl ester",285.35,1,CCOC(=O)CC,le15,0,0,0
"Acetic acid, 1-methylethyl ester",289.85,1,CC(=O)OC(C)C,le15,0,0,0
"Acetic acid, propyl ester",285.95,1,CCCOC(C)=O,le15,0,0,0
"Butyric acid, 2-methyl- (6CI,8CI)",346.55,1,CCC(C)C(=O)O,le15,0,0,0
"Butanoic acid, 3-methyl-",346.55,1,CC(C)CC(=O)O,le15,0,0,0
"Formic acid, 2-methylpropyl ester",283.15,1,CC(C)COC=O,le15,0,0,0
"Propanoic acid, 2-methyl-, methyl ester",277.55,1,COC(=O)C(C)C,le15,0,0,0
"Formic acid, sec-butyl ester (8CI)",276.65,1,CCC(C)OC=O,le15,0,0,0
2methylbutyricacid,350,1,CCC(C)C(=O)O,le15,0,0,0
3methylbutanoicacid,347,1,CC(C)CC(=O)O,le15,0,0,0
"Carbamic acid, N-methyl-, ethyl ester",330.95,1,CCOC(=O)NC,le15,0,0,0
"Nitrous acid, butyl ester",261.15,1,CCCCON=O,le15,0,0,0
"Nitrous acid, 2-methylpropyl ester",252.15,1,CC(C)CON=O,le15,0,0,0
Propanedioic acid,475.05,1,O=C(O)CC(=O)O,le15,0,0,0
"Acetic acid, 2-ethoxy-",366.25,1,CCOCC(=O)O,le15,0,0,0
"Acetic acid, 2-fluoro-, ethyl ester",303.15,1,CCOC(=O)CF,le15,0,0,0
"Propanoic acid, 3-mercapto-",373.887,1,O=C(O)CCS,le15,0,0,0
"Acetic acid, mercapto-, methyl ester",329.15,1,COC(=O)CS,le15,0,0,0
"Acrylic acid, 3-chloro-, (Z)- (8CI)",343.25,1,O=C(O)/C=C\Cl,le15,0,0,0
"Methanesulfinic acid, 1-amino-1-imino-",441.85,1,N=C(N)S(=O)O,le15,0,0,0
"Acetic acid, 2-chloro-, methyl ester",324.85,1,COC(=O)CCl,le15,0,0,0
"Propanoic acid, 3-chloro-",398.15,1,O=C(O)CCCl,le15,0,0,0
"Carbonochloridic acid, ethyl ester",291.95,1,CCOC(=O)Cl,le15,0,0,0
"Propanoic acid, 2-chloro-",380.15,1,CC(Cl)C(=O)O,le15,0,0,0
"Phosphonic acid, dimethyl ester",302.594,1,CO[PH](=O)OC,le15,0,0,0
"Methanesulfonic acid, methyl ester",377.15,1,COS(C)(=O)=O,le15,0,0,0
"2-Propenoic acid, 2-cyano-, methyl ester",340.75,1,C=C(C#N)C(=O)OC,le15,0,0,0
2-Furancarboxylic acid,367.35,1,O=C(O)c1ccco1,le15,0,0,0
1H-imidazole-5-carboxylic acid,526.35,1,O=C(O)c1cnc[nH]1,le15,0,0,0
"Acrylic acid, allyl ester (8CI)",342.35,1,C=CCOC(=O)C=C,le15,0,0,0
"2-Butenoic acid, ethenyl ester",300.15,1,C=COC(=O)C=CC,le15,0,0,0
"2,4-Hexadienoic acid, (2E,4E)-",400.15,1,C/C=C/C=C/C(=O)O,le15,0,0,0
2-chloro-2-fluoroacetic acid,331.75,1,O=C(O)C(F)Cl,le15,0,0,0
"Acetic acid, 2,2,2-trifluoro-",270.15,1,O=C(O)C(F)(F)F,le15,0,0,0
"Fluorosulfuric acid, methyl ester",283.15,1,COS(=O)(=O)F,le15,0,0,0
"Acetic acid, diazo-, ethyl ester",319.15,1,CCOC(=O)C=[N+]=[N-],le15,0,0,0
"2-Propenoic acid, 2-methyl-, ethyl ester",288.75,1,C=C(C)C(=O)OCC,le15,0,0,0
"Butanoic acid, ethenyl ester (9CI)",299.55,1,C=COC(=O)CCC,le15,0,0,0
"2-Butenoic acid, ethyl ester, (E)- (9CI)",275.15,1,C/C=C/C(=O)OCC,le15,0,0,0
(E)-hex-2-enoic acid,388.55,1,CCC/C=C/C(=O)O,le15,0,0,0
"Propionic acid, allyl ester (8CI)",306.65,1,C=CCOC(=O)CC,le15,0,0,0
cyclopentanecarboxylic acid,366.15,1,O=C(O)C1CCCC1,le15,0,0,0
(E)-hex-3-enoic acid,379.55,1,CC/C=C/CC(=O)O,le15,0,0,0
"2,2-dimethylbut-3-enoic acid",357.45,1,C=CC(C)(C)C(=O)O,le15,0,0,0
"2-Butenoic acid, ethyl ester",301.45,1,CC=CC(=O)OCC,le15,0,0,0
"2-Hexenoic acid, (2E)-",388.55,1,CCC/C=C/C(=O)O,le15,0,0,0
(E)-2-methylpent-2-enoic acid,380.15,1,CC/C=C(\C)C(=O)O,le15,0,0,0
(E)-2-methylpent-3-enoic acid,370.55,1,C/C=C/C(C)C(=O)O,le15,0,0,0
hex-5-enoic acid,373.25,1,C=CCCCC(=O)O,le15,0,0,0
(E)-4-methylpent-2-enoic acid,379.15,1,CC(C)/C=C/C(=O)O,le15,0,0,0
"Isothiocyanic acid, butyl ester",339.25,1,CCCCN=C=S,le15,0,0,0
"Butanoic acid, 3-oxo-, methyl ester",334.75,1,COC(=O)CC(C)=O,le15,0,0,0
