compound,flashpoint,pure substance,smiles,source
Heptamethyldisilazane,300.15,1,C[Si](N([Si](C)(C)C)C)(C)C,chen14
Bis(trimethylsiloxy)methylsilane,296.15,1,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,chen14
Tetravinylsilane,291.15,1,C(=C)[Si](C=C)(C=C)C=C,chen14
Cyclopentadienyltrimethylsilane,302.15,1,C1(C=CC=C1)[Si](C)(C)C,chen14
(Cyclopentenyloxy)trimethylsilane,311.15,1,C1(=CCCC1)O[Si](C)(C)C,chen14
"(2,4-Pentadienyl)trimethylsilane",291.15,1,C(C=CC=C)[Si](C)(C)C,chen14
n-Octyltrichlorosilane,369.15,1,C(CCCCCCC)[Si](Cl)(Cl)Cl,chen14
n-Heptylmethyldichlorosilane,339.15,1,C(CCCCCC)[Si](Cl)(Cl)C,chen14
Tetramethyldivinyldisiloxane,292.15,1,C[Si](O[Si](C=C)(C=C)C)(C)C,chen14
Triethylacetoxysilane,314.15,1,C(C)C(C(=O)O[SiH3])(CC)CC,chen14
Vinyltriethoxysilane,307.15,1,C(=C)[Si](OCC)(OCC)OCC,chen14
"1,3-Divinyltetramethyldisilazane",307.15,1,C(=C)[Si](N[Si](C=C)(C)C)(C)C,chen14
Diethyldiethoxysilane,316.15,1,C(C)[Si](OCC)(OCC)CC,chen14
Tetraethoxysilane,323.15,1,C(C)O[Si](OCC)(OCC)OCC,chen14
Tetraethylsilane,305.15,1,C(C)[Si](CC)(CC)CC,chen14
Aminoethylaminopropyltrimethoxysilane,269.15,1,NCCNCCC[Si](OC)(OC)OC,chen14
Tetramethyldiethoxysiloxane,311.15,1,CC(C(O[Si]([O])OCC)(C)C)C,chen14
Octamethyltrisiloxane,303.15,1,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,chen14
Octamethylcyclotetrasiloxane,330.15,1,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,chen14
Octamethylcyclotetrasilazane,339.15,1,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,chen14
