,compound,flashpoint,pure substance,smiles,source
186,Hexamethyldisilane,272.15,1,C[Si](C)(C)[Si](C)(C)C,wang11
187,Vinyldiethylmethylsilane,288.15,1,C=C[Si](C)(CC)CC,wang11
188,Isobutyltrimethoxysilane,315.15,1,CO[Si](CC(C)C)(OC)OC,wang11
189,Phenyldimethylchlorosilane,334.15,1,C[Si](C)(Cl)c1ccccc1,wang11
190,"(N,N-Dimethylamino)triethylsilane",299.15,1,CC[Si](CC)(CC)N(C)C,wang11
191,Vinyltriacetoxysilane,361.15,1,C=C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,wang11
192,Ethyltriacetoxysilane,377.15,1,CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O,wang11
193,3-(Trimethylsilyl)cyclopentene,299.15,1,C[Si](C)(C)C1C=CCC1,wang11
194,Vinyltriethylsilane,298.15,1,C=C[Si](CC)(CC)CC,wang11
195,n-Octylsilane,309.15,1,CCCCCCCC[SiH3],wang11
196,Methylphenyldimethoxysilane,349.15,1,CO[Si](C)(OC)c1ccccc1,wang11
197,2-Cyanoethyltriethoxysilane,359.15,1,CCO[Si](CCC#N)(OCC)OCC,wang11
198,3-Glycidoxypropyltrimethoxysilane,383.15,1,CO[Si](CCCOCC1CO1)(OC)OC,wang11
199, Di-t-butylmethylchlorosilane,342.15,1,CC(C)(C)[Si](C)(Cl)C(C)(C)C,wang11
200,Tri-n-propylchlorosilane,349.15,1,CCC[Si](Cl)(CCC)CCC,wang11
201, (Diisopropylamino)trimethylsilane,301.15,1,CC(C)N(C(C)C)[Si](C)(C)C,wang11
202,1-Chlorononamethyltetrasiloxane,347.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Cl,wang11
203, Tristrimethylsiloxymethylsilane,336.15,1,C[Si](C)(C)OC([SiH3])(O[Si](C)(C)C)O[Si](C)(C)C,wang11
204,Diphenylmethylsilane,393.15,1,[SiH3]C(c1ccccc1)c1ccccc1,wang11
205,Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C=C(C)O[Si](C)(C)C,wang11
206,"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,FC(F)(F)CC[SiH2]C(Cl)Cl,wang11
207,[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,C[Si](C)(C)CCOCCl,wang11
208,Triphenylsilane,416.35,1,c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,wang11
209,Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,wang11
