,compound,flashpoint,pure substance,smiles,source
146,Octadecamethyloctasiloxane,417.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,didier12
147,Vinyltris(methoxyethoxy)silane,353.15,1,C=C[Si](OCCOC)(OCCOC)OCCOC,didier12
148,Trimethyl(vinyloxy)silane,263.15,1,C=CO[Si](C)(C)C,didier12
149,Trichloro(3-cyanopropyl) Silane,365.15,1,N#CCCC[Si](Cl)(Cl)Cl,didier12
150,Trichloro(2-phenylethyl)silane,364.15,1,Cl[Si](Cl)(Cl)CCc1ccccc1,didier12
151,"Chlorodimethyl(3,3,3-trifluoropropyl) silane",293.15,1,C[Si](C)(Cl)CCC(F)(F)F,didier12
152,Vinylmethylbis (trimethylsiloxy) silane,324.15,1,C=CC[SiH](O[Si](C)(C)C)O[Si](C)(C)C,didier12
153,Trichloro(Chloromethyl) silane,342.15,1,ClC[Si](Cl)(Cl)Cl,didier12
154,Dimethyl(pentafluorophenyl) silane,313.15,1,C[SiH](C)c1c(F)c(F)c(F)c(F)c1F,didier12
155,Trichloro(p-chlorophenyl)silane,397.05,1,Clc1ccc([Si](Cl)(Cl)Cl)cc1,didier12
156,Trisilane,273.15,1,[SiH3][SiH2][SiH3],didier12
157,Trichlorononylsilane,387.15,1,[SiH3]CCCCCCCCC(Cl)(Cl)Cl,didier12
158,Dichloroethylsilane,263.75,1,[SiH3]CC(Cl)Cl,didier12
159,Trichloro(dichlorophenyl)silane,419.15,1,Clc1cccc([Si](Cl)(Cl)Cl)c1Cl,didier12
160,Tris(trimethylsilyl)silane,328.15,1,C[Si](C)(C)[SiH]([Si](C)(C)C)[Si](C)(C)C,didier12
161,Tris(trimethylsiloxy)silane,323.15,1,C[Si](C)(C)O[SiH](O[Si](C)(C)C)O[Si](C)(C)C,didier12
162,Hexadecyltrichlorosilane,427.15,1,CCCCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,didier12
163,Dichlorosilane,236.15,1,Cl[SiH2]Cl,didier12
164,Methyldichlorosilane,241.15,1,C[SiH](Cl)Cl,didier12
165,Iodotrimethylsilane,288.15,1,C[Si](C)(C)I,didier12
166,Dimethyldichlorosilane,257.15,1,C[Si](C)(Cl)Cl,didier12
167,Bromomethyldimethylchlorosilane,314.15,1,C[Si](C)(Cl)CBr,didier12
168,Trimethylsilane,204.15,1,C[SiH](C)C,didier12
169,Dimethylvinylchlorosilane,268.15,1,CC(C)=C[SiH2]Cl,didier12
170,"1,3-Dichlorotetramethyldisiloxane",288.15,1,C[Si](C)(Cl)O[Si](C)(C)Cl,didier12
171,"1,1,3,3-Tetramethyldisiloxane",251.15,1,C[SiH](C)O[SiH](C)C,didier12
172,Tetramethyldisilazane,284.15,1,CN([SiH3])[Si](C)(C)C,didier12
173,Allyldimethylchlorosilane,278.15,1,C=CC[Si](C)(C)Cl,didier12
174,sec-Amyltrichlorosilane,303.15,1,CCCC(C)[Si](Cl)(Cl)Cl,didier12
175,n-Butylmethyldichlorosilane,303.15,1,CCCC[Si](C)(Cl)Cl,didier12
176,Bis(dimethylamino)methylsilane,270.15,1,CN(C)C([SiH3])N(C)C,didier12
177,Phenyltrichlorosilane,364.15,1,Cl[Si](Cl)(Cl)c1ccccc1,didier12
178,Dimethyldiacetoxysilane,310.15,1,CC(=O)O[Si](C)(C)OC(C)=O,didier12
179,1-Trimethylsilylpropyne,270.15,1,CC#C[Si](C)(C)C,didier12
180,Vinyldimethylethoxysilane,277.15,1,C=C[Si](C)(C)OCC,didier12
181,Allyloxytrimethylsilane,273.15,1,C=CCO[Si](C)(C)C,didier12
182,Allyltrimethoxysilane,319.15,1,C=CC[Si](OC)(OC)OC,didier12
183,3-Chloropropyltrimethoxysilane,348.15,1,CO[Si](CCCCl)(OC)OC,didier12
184,n-Propyltrimethoxysilane,298.15,1,CCC[Si](OC)(OC)OC,didier12
185,Hexamethyldisiloxane,270.15,1,C[Si](C)(C)O[Si](C)(C)C,didier12
186,Hexamethyldisilane,272.15,1,C[Si](C)(C)[Si](C)(C)C,didier12
187,Vinyldiethylmethylsilane,288.15,1,C=C[Si](C)(CC)CC,didier12
188,Isobutyltrimethoxysilane,315.15,1,CO[Si](CC(C)C)(OC)OC,didier12
189,Phenyldimethylchlorosilane,334.15,1,C[Si](C)(Cl)c1ccccc1,didier12
190,"(N,N-Dimethylamino)triethylsilane",299.15,1,CC[Si](CC)(CC)N(C)C,didier12
191,Vinyltriacetoxysilane,361.15,1,C=C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,didier12
192,Ethyltriacetoxysilane,377.15,1,CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O,didier12
193,3-(Trimethylsilyl)cyclopentene,299.15,1,C[Si](C)(C)C1C=CCC1,didier12
194,Vinyltriethylsilane,298.15,1,C=C[Si](CC)(CC)CC,didier12
195,n-Octylsilane,309.15,1,CCCCCCCC[SiH3],didier12
196,Methylphenyldimethoxysilane,349.15,1,CO[Si](C)(OC)c1ccccc1,didier12
197,2-Cyanoethyltriethoxysilane,359.15,1,CCO[Si](CCC#N)(OCC)OCC,didier12
198,3-Glycidoxypropyltrimethoxysilane,383.15,1,CO[Si](CCCOCC1CO1)(OC)OC,didier12
199,Di-t-butylmethylchlorosilane,342.15,1,CC(C)(C)[Si](C)(Cl)C(C)(C)C,didier12
200,Tri-n-propylchlorosilane,349.15,1,CCC[Si](Cl)(CCC)CCC,didier12
201,(Diisopropylamino)trimethylsilane,301.15,1,CC(C)N(C(C)C)[Si](C)(C)C,didier12
202,1-Chlorononamethyltetrasiloxane,347.15,1,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Cl,didier12
203,Tristrimethylsiloxymethylsilane,336.15,1,C[Si](C)(C)OC([SiH3])(O[Si](C)(C)C)O[Si](C)(C)C,didier12
204,Diphenylmethylsilane,393.15,1,[SiH3]C(c1ccccc1)c1ccccc1,didier12
205,Trimethyl[(1-methylethenyl)oxy]silane,272.15,1,C=C(C)O[Si](C)(C)C,didier12
206,"Dichloromethyl-3,3,3-trifluoropropylsilane",288.15,1,FC(F)(F)CC[SiH2]C(Cl)Cl,didier12
207,[2-(chloromethoxy)ethyl]trimethylsilane,319.15,1,C[Si](C)(C)CCOCCl,didier12
208,Triphenylsilane,416.35,1,c1ccc([SiH](c2ccccc2)c2ccccc2)cc1,didier12
209,Trichlorosilane,245.15,1,Cl[SiH](Cl)Cl,didier12
